"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C6";"C_0805_2012Metric";1;"22nF(50V)";;;
2;"R6";"R_0402_1005Metric";1;"1k";;;
3;"C7,C19";"CP_Elec_8x10";2;"100uF(50V)";;;
4;"D3,D1,D2,D9";"LED_0603_1608Metric";4;"LED_Small";;;
5;"R19";"R_0402_1005Metric";1;"549";;;
6;"C32";"C_0603_1608Metric";1;"10uF";;;
7;"U6";"SOT-223-3_TabPin2";1;"LM1117-3.3";;;
8;"C1";"C_0805_2012Metric";1;"10uF(50V)";;;
9;"U4";"SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.514x3.2mm";1;"TPS5430DDA";;;
10;"SW2,SW1";"SW_Push_SPST_NO_Alps_SKRK";2;"SW_Push";;;
11;"S1";"SW_SPDT_CK-JS102011SAQN";1;"EG1218";;;
12;"D5,D4,D6";"D_0603_1608Metric";3;"D_TVS";;;
13;"C2,C15,C13";"C_0402_1005Metric";3;"0.1uF(10%)";;;
14;"Q2,Q1";"SOT-23";2;"S8050";;;
15;"C18";"C_1206_3216Metric";1;"4.7uF(50V)";;;
16;"C3";"C_1206_3216Metric";1;"10uF(50V)";;;
17;"R3,R23,R22,R8,R7";"R_0402_1005Metric";5;"10k";;;
18;"C20,C17,C23,C21,C29,C27,C22";"C_0402_1005Metric";7;"0.1uF";;;
19;"R4,R1,R5";"R_0402_1005Metric";3;"0(5%)";;;
20;"R17";"R_0805_2012Metric";1;"20k";;;
21;"U2";"QFN-28-1EP_5x5mm_P0.5mm_EP3.75x3.75mm";1;"TMC2209-LA-T";;;
22;"C28";"C_0805_2012Metric";1;"0.01uF";;;
23;"C14,C5,C4";"C_0805_2012Metric";3;"100nF(50V)";;;
24;"C12";"C_0805_2012Metric";1;"100nF(10V)";;;
25;"R14";"R_0402_1005Metric";1;"100k";;;
26;"J4";"USB_Micro_B_Female_10118194-0001LF";1;"10118194-0001LF";;;
27;"R9,R12,R13,R24";"R_0402_1005Metric";4;"330";;;
28;"R20";"R_0603_1608Metric";1;"5.9k";;;
29;"C8";"C_0805_2012Metric";1;"4.7uF(6V3)";;;
30;"R21";"R_0402_1005Metric";1;"4.7k";;;
31;"U1";"ESP32-WROOM-32";1;"ESP32-WROOM-32D";;;
32;"D7,D8";"D_SMA";2;"D_Schottky";;;
33;"C9";"C_0603_1608Metric";1;"1uF(50V)";;;
34;"C11,C10";"C_0603_1608Metric";2;"1uF";;;
35;"R18";"R_0402_1005Metric";1;"22k";;;
36;"C16";"C_0402_1005Metric";1;"2.2uF";;;
37;"U3";"MAX3232IPWR";1;"MAX3232";;;
38;"R11,R10";"R_0402_1005Metric";2;"200";;;
39;"C30";"C_1206_3216Metric";1;"100uF";;;
40;"C31";"C_0805_2012Metric";1;"1.5nF";;;
41;"R16,R15";"R_1206_3216Metric";2;"80m";;;
42;"C25";"C_0805_2012Metric";1;"1.0uF";;;
43;"U5";"QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm";1;"INTERFACE-CP2102-GMR(QFN28)";;;
44;"C26";"C_0805_2012Metric";1;"150pF";;;
45;"R2";"R_0402_1005Metric";1;"1M";;;
46;"L1";"L_12x12mm_H8mm";1;"L_Iron";;;
47;"C24";"C_0805_2012Metric";1;"4.7uF";;;
48;"J1,J2";"JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical";2;"B4B-XH-AMLFSN";;;
49;"J3";"JST_XH_B8B-XH-AM_1x08_P2.50mm_Vertical";1;"B8B-XH-A_LFSN";;;
